Gen 1:   aveUtil = 102.73
Gen 2:   aveUtil = 106.546
Gen 3:   aveUtil = 112.14
Gen 4:   aveUtil = 118.133
Gen 5:   aveUtil = 125.323
Gen 6:   aveUtil = 134.107
Gen 7:   aveUtil = 142.283
Gen 8:   aveUtil = 150.179
Gen 9:   aveUtil = 158.289
Gen 10:   aveUtil = 166.297
Gen 11:   aveUtil = 174.024
Gen 12:   aveUtil = 181.923
Gen 13:   aveUtil = 189.818
Gen 14:   aveUtil = 196.348
Gen 15:   aveUtil = 203.787
Gen 16:   aveUtil = 210.199
Gen 17:   aveUtil = 217.902
Gen 18:   aveUtil = 223.005
Gen 19:   aveUtil = 228.124
Gen 20:   aveUtil = 234.451
Gen 21:   aveUtil = 238.906
Gen 22:   aveUtil = 242.291
Gen 23:   aveUtil = 245.268
Gen 24:   aveUtil = 247.874
Gen 25:   aveUtil = 250.581
Gen 26:   aveUtil = 255.011
Gen 27:   aveUtil = 257.712
Gen 28:   aveUtil = 260.241
Gen 29:   aveUtil = 264.334
Gen 30:   aveUtil = 266.158
Gen 31:   aveUtil = 268.363
Gen 32:   aveUtil = 270.991
Gen 33:   aveUtil = 276.154
Gen 34:   aveUtil = 277.787
Gen 35:   aveUtil = 281.855
Gen 36:   aveUtil = 284.067
Gen 37:   aveUtil = 287.356
Gen 38:   aveUtil = 289.437
Gen 39:   aveUtil = 289.547
Gen 40:   aveUtil = 292.948
Gen 41:   aveUtil = 298.066
Gen 42:   aveUtil = 301.473
Gen 43:   aveUtil = 304.04
Gen 44:   aveUtil = 306.82
Gen 45:   aveUtil = 310.208
Gen 46:   aveUtil = 313.954
Gen 47:   aveUtil = 317.421
Gen 48:   aveUtil = 318.766
Gen 49:   aveUtil = 322.971
Gen 50:   aveUtil = 326.503
Gen 51:   aveUtil = 326.882
Gen 52:   aveUtil = 331.434
Gen 53:   aveUtil = 332.406
Gen 54:   aveUtil = 336.523
Gen 55:   aveUtil = 338.557
Gen 56:   aveUtil = 340.465
Gen 57:   aveUtil = 344.044
Gen 58:   aveUtil = 344.48
Gen 59:   aveUtil = 346.889
Gen 60:   aveUtil = 349.494
Gen 61:   aveUtil = 352.113
Gen 62:   aveUtil = 353.616
Gen 63:   aveUtil = 354.725
Gen 64:   aveUtil = 357.758
Gen 65:   aveUtil = 358.945
Gen 66:   aveUtil = 360.647
Gen 67:   aveUtil = 360.181
Gen 68:   aveUtil = 362.72
Gen 69:   aveUtil = 364.81
Gen 70:   aveUtil = 364.809
Gen 71:   aveUtil = 366.509
Gen 72:   aveUtil = 370.961
Gen 73:   aveUtil = 371.435
Gen 74:   aveUtil = 372.368
Gen 75:   aveUtil = 373.794
Gen 76:   aveUtil = 377.45
Gen 77:   aveUtil = 376.386
Gen 78:   aveUtil = 380.783
Gen 79:   aveUtil = 379.507
Gen 80:   aveUtil = 381.983
Gen 81:   aveUtil = 384.258
Gen 82:   aveUtil = 385.229
Gen 83:   aveUtil = 389.087
Gen 84:   aveUtil = 387.876
Gen 85:   aveUtil = 389.7
Gen 86:   aveUtil = 392.035
Gen 87:   aveUtil = 395.646
Gen 88:   aveUtil = 395.126
Gen 89:   aveUtil = 398.173
Gen 90:   aveUtil = 401.573
Gen 91:   aveUtil = 398.595
Gen 92:   aveUtil = 401.787
Gen 93:   aveUtil = 402.364
Gen 94:   aveUtil = 404.764
Gen 95:   aveUtil = 406.24
Gen 96:   aveUtil = 407.337
Gen 97:   aveUtil = 407.474
Gen 98:   aveUtil = 410.569
Gen 99:   aveUtil = 412.586
Gen 100:   aveUtil = 412.304
Gen 101:   aveUtil = 413.466
Gen 102:   aveUtil = 414.921
Gen 103:   aveUtil = 418.012
Gen 104:   aveUtil = 417.667
Gen 105:   aveUtil = 418.438
Gen 106:   aveUtil = 419.065
Gen 107:   aveUtil = 423.021
